Recording ID,Graph Name,Matched,Num Matches,Avg Similarity,Has Updated Features
1_19,microwaveeggsandwich,Yes,12,0.081,Yes
1_14,microwaveeggsandwich,Yes,12,0.086,Yes
1_7,microwaveeggsandwich,Yes,12,0.062,Yes
1_32,microwaveeggsandwich,Yes,12,0.063,Yes
1_33,microwaveeggsandwich,Yes,12,0.078,Yes
1_34,microwaveeggsandwich,Yes,12,0.049,Yes
1_36,microwaveeggsandwich,Yes,12,0.070,Yes
1_10,microwaveeggsandwich,Yes,12,0.086,Yes
1_28,microwaveeggsandwich,Yes,12,0.075,Yes
1_136,microwaveeggsandwich,Yes,12,0.069,Yes
1_43,microwaveeggsandwich,Yes,12,0.080,Yes
1_143,microwaveeggsandwich,Yes,12,0.080,Yes
1_37,microwaveeggsandwich,Yes,12,0.077,Yes
1_30,microwaveeggsandwich,Yes,12,0.082,Yes
10_16,pinwheels,Yes,19,0.079,Yes
10_6,pinwheels,Yes,19,0.072,Yes
10_26,pinwheels,Yes,19,0.056,Yes
10_31,pinwheels,Yes,19,0.077,Yes
10_42,pinwheels,Yes,20,0.084,Yes
10_24,pinwheels,Yes,19,0.055,Yes
