variant,backbone,split,accuracy,precision,recall,f1,auc
LSTM,omnivore,recordings,56.03576751117735,41.45569620253164,54.356846473029044,47.03770197486535,60.112901669400756
LSTM,slowfast,recordings,35.61847988077496,35.68215892053973,98.7551867219917,52.42290748898678,50.557271060503716
MLP,omnivore,recordings,50.3725782414307,40.909090909090914,85.89211618257261,55.42168674698795,63.02808067162018
MLP,slowfast,recordings,53.3532041728763,41.38755980861244,71.78423236514523,52.50379362670713,56.89375663417928
Transformer,omnivore,recordings,61.40089418777943,45.40816326530612,36.92946058091287,40.73226544622426,62.26768310334846
Transformer,slowfast,recordings,55.88673621460507,41.157556270096464,53.11203319502075,46.3768115942029,59.82727009553218
LSTM,omnivore,step,82.83208020050125,72.58064516129032,72.28915662650603,72.43460764587525,86.84428058317057
LSTM,slowfast,step,32.205513784461154,31.377551020408163,98.79518072289156,47.62826718296225,50.879291299990484
MLP,omnivore,step,71.05263157894737,66.07142857142857,14.859437751004014,24.262295081967213,75.73902166041213
MLP,slowfast,step,33.583959899749374,31.917631917631915,99.59839357429718,48.343079922027286,63.09610024798646
Transformer,omnivore,step,69.92481203007519,51.55709342560554,59.83935742971887,55.39033457249071,75.61832027563806
Transformer,slowfast,step,68.04511278195488,47.69230769230769,24.899598393574294,32.71767810026385,67.13630478196941
